Class,Not_Transit-like_False_Positive_Flag,Orbit_Period,Transit_Epoch,Transit_Duration,Transit_Depth,Planetary_Radius,Insolation_Flux,Transit_Signal-to-Noise,Stellar_Surface_Gravity,Stellar_Radius
0,1,7.544039,171.7982,6.222,322.6,17.47,116.46,14.2,4.567,0.824
1,0,9.02930689,177.20422,3.1449,1019.8,2.57,77.75,53.9,4.526,0.82
0,0,10.328035714,174.581054,7.7915,16918.0,13.28,119.31,636.8,4.359,1.024
1,0,143.2063047,154.23552,8.9302,10566.0,8.9,2.14,138.8,4.556,0.867
1,0,6.164876,135.63916,3.262,55.8,0.79,256.35,14.4,4.406,1.012
1,0,60.32494216,243.892578,6.6188,20280.0,12.19,6.77,347.2,4.556,0.867
1,0,29.1598615,150.69922,4.803,488.0,1.91,17.85,11.6,4.556,0.867
0,0,1.540397253,170.50479,2.1541,816.1,25.69,1105.68,38.8,4.53,0.915
0,0,2.99025443,171.9834,5.414,589.2,1.7,168.45,48.5,4.578,0.731
1,0,1.594745374,170.6483505,1.9604,15044.0,11.3,1329.42,1009.3,4.491,0.893
1,0,4.783002698,170.508434,2.335,1008.7,2.5,145.48,70.6,4.574,0.807
1,0,20.50588921,181.43428,4.0595,2105.5,3.41,17.06,78.5,4.544,0.761
1,0,3.340218842,171.979062,1.9104,1632.6,2.03,43.73,71.6,4.754,0.493
0,0,2.507089906,171.002455,2.0067,1339.2,30.26,730.47,64.9,4.506,0.939
1,0,18.64932728,174.771,4.4056,893.6,3.12,57.13,46.1,4.405,1.053
1,0,4.90144976,138.60548,4.1654,140.7,1.7,598.74,50.6,4.191,1.402
1,0,9.75192101,138.78608,4.793,418.0,2.76,135.66,28.5,4.405,1.053
1,0,38.5576546,163.85063,5.794,993.0,4.02,21.71,39.7,4.405,1.053
1,0,3.525632539,170.0479951,2.59959,22335.0,11.58,213.12,1996.7,4.572,0.793
1,0,34.84398644,172.633252,2.9315,4523.6,7.61,16.1,76.8,4.482,0.871
1,0,7.748094239,174.997206,3.5957,2472.1,5.52,204.39,113.2,4.439,1.085
1,0,23.96793669,186.22182,3.827,1182.3,1.8,2.77,27.5,4.728,0.524
1,0,8.11437482,176.33968,2.2736,1558.0,2.1,10.55,56.4,4.753,0.517
0,0,38.036729482,196.934947,4.34617,82872.0,27.5,14.81,1300.0,4.521,0.932
0,0,4.64090031,173.64638,35.512,2450.6,30.09,421.08,296.9,4.5,0.826
0,0,3.747838198,171.66504,5.0642,616.0,13.65,266.76,138.2,4.569,0.826
1,0,14.74914825,138.77799,6.0995,430.2,2.89,137.91,107.4,4.191,1.402
1,0,21.81295996,174.01085,4.3791,1175.4,3.38,39.33,37.8,4.41,0.999
0,0,7.91936937,172.181092,3.3148,15148.0,10.34,104.0,389.0,4.588,0.776
1,0,1.028436523,170.228582,1.8606,8098.0,72.77,3400.48,89.6,4.428,0.99
1,0,15.37562369,173.61402,3.3169,15337.0,11.01,30.54,166.0,4.496,0.833
1,0,8.10363271,176.9486,3.161,887.9,2.11,52.82,39.3,4.574,0.732
1,0,4.71510843,134.96178,2.506,417.5,1.46,108.84,21.3,4.574,0.732
1,0,6.365839713,171.13575,2.9721,780.7,2.44,165.33,70.8,4.554,0.849
0,0,5.97581754,174.77602,3.065,962.4,3.86,284.25,50.3,4.471,0.997
0,0,2.446737317,170.66951,4.7211,1177.9,26.25,597.19,110.2,4.548,0.863
1,0,3.04033046,169.9490106,1.8411,10859.0,8.99,257.29,568.2,4.519,0.791
1,0,15.33528675,174.00278,3.897,3081.4,5.0,32.67,86.6,4.581,0.817
1,0,7.95825328,137.80219,4.377,50.0,1.06,314.15,14.7,4.191,1.402
1,0,31.33046135,153.43031,5.176,5073.8,6.5,12.61,117.2,4.581,0.817
0,0,3.9043425,173.393734,3.831,16228.0,12.28,351.05,323.4,4.526,0.898
0,0,9.286358079,171.8214689,3.49949,44791.0,17.61,95.03,1671.1,4.523,0.821
0,0,3.951405455,173.276125,2.1862,2453.9,31.44,388.71,117.2,4.539,0.869
1,0,23.65369415,171.376107,8.2183,3341.8,7.89,67.65,266.3,4.191,1.384
1,0,13.23352214,140.32196,6.7372,504.6,3.06,146.67,49.1,4.191,1.384
1,0,6.15560285,134.81656,4.9843,285.0,2.32,406.94,35.1,4.191,1.384
1,0,2.090811305,134.17462,3.388,115.9,1.62,1718.04,19.9,4.191,1.384
1,0,3.180027898,133.49863,3.5797,120.3,1.53,1066.86,50.4,4.191,1.402
1,0,50.4467417,178.5014,7.159,370.3,2.67,24.64,19.4,4.191,1.384
1,0,11.76307164,180.93613,2.9076,1037.3,2.35,33.99,48.9,4.603,0.756
1,0,56.2279271,132.29259,3.57,862.7,2.37,4.22,20.9,4.603,0.756
0,0,2.384052875,171.58362,3.0918,1268.1,17.06,244.87,50.5,4.58,0.701
1,0,7.953547,174.66224,2.6312,875.4,2.25,55.37,38.4,4.536,0.779
